"","web_url","snippet","print_page","source","pub_date","document_type","new_desk","type_of_material","X_id","word_count","score","uri","section_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"285","https://www.nytimes.com/aponline/2018/03/21/world/middleeast/ap-soc-iraq-soccer.html","Iraqi soccer fans are celebrating the lifting of FIFA's three-decade-long ban on their country holding international competitions as the southern city of Basra prepared to host a friendly match with Qatar on Wednesday.",NA,"AP","2018-03-21T11:39:09+0000","article","None","News","5ab2446047de81a9012142ba",348,0.002329397,"nyt://article/1a7415a9-0b90-50ba-bb5f-ce9f4e6370d2","Middle East","Iraqi Fans Celebrate Lifting of 3-Decade FIFA Ban",NA,NA,"Iraqi Fans Celebrate Lifting of 3-Decade FIFA Ban",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"286","https://www.nytimes.com/reuters/2018/03/23/world/americas/23reuters-iowa-family-mexico.html","An Iowa family of four on vacation in Mexican seaside resort was found dead inside a condominium, but foul play was not suspected, authorities and a family member said on Friday.",NA,"Reuters","2018-03-23T22:59:45+0000","article","None","News","5ab586e647de81a901216659",359,0.0023213488,"nyt://article/cb41d933-6a7f-5993-a445-c6e78ccb1255","Americas","Iowa Family of Four Found Dead in Mexico",NA,NA,"Iowa Family of Four Found Dead in Mexico",NA,NA,NA,"By REUTERS","REUTERS"
"287","https://www.nytimes.com/aponline/2018/03/21/us/ap-10-things-to-know-thursday.html","Your daily look at late-breaking news, upcoming events and the stories that will be talked about Thursday:",NA,"AP","2018-03-22T02:08:58+0000","article","None","News","5ab3103e47de81a901214f8e",316,0.0023202817,"nyt://article/7ebdc94a-f205-559e-9ccb-f5b88fc26202",NA,"10 Things to Know for Thursday",NA,NA,"10 Things to Know for Thursday",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"288","https://www.nytimes.com/reuters/2018/03/21/business/21reuters-meredith-corp-layoffs.html","U.S. media company Meredith Corp said on Wednesday it cut about 200 jobs and would lay off another 1,000 as it streamlines its operations following the completion of its Time Inc acquisition.",NA,"Reuters","2018-03-21T20:51:35+0000","article","None","News","5ab2c5db47de81a901214c9c",316,0.0023167396,"nyt://article/c32ac6f2-19c0-5d94-a454-f23e15952272",NA,"Meredith to Cut About 1,200 Jobs, Sell Some Time Publications",NA,NA,"Meredith to Cut About 1,200 Jobs, Sell Some Time Publications",NA,NA,NA,"By REUTERS","REUTERS"
"289","https://www.nytimes.com/2018/03/21/movies/hugh-jackman-greatest-showman-benj-pasek-justin-paul.html","The team behind the P.T. Barnum musical answered reader questions about the word-of-mouth hit. Even they were a little surprised by moviegoers’ responses.",NA,"The New York Times","2018-03-21T23:41:40+0000","article","Culture","News","5ab2edb747de81a901214e78",360,0.002303189,"nyt://article/e88ad753-1331-5238-b230-c96ec19a7d0d",NA,"Hugh Jackman and Company on Fans of ‘The Greatest Showman’",NA,NA,"Hugh Jackman and Company on Fans of ‘The Greatest Showman’",NA,NA,NA,"By STEPHANIE GOODMAN",NA
"290","https://www.nytimes.com/aponline/2018/03/21/us/ap-10-things-to-know-today.html","Your daily look at late-breaking news, upcoming events and the stories that will be talked about today:",NA,"AP","2018-03-21T10:39:02+0000","article","None","News","5ab2364847de81a9012141ca",332,0.0022812418,"nyt://article/23b404a2-6e59-53e5-b7be-08d8d6eb51e6",NA,"10 Things to Know for Today",NA,NA,"10 Things to Know for Today",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"291","https://www.nytimes.com/2018/03/23/business/dealbook/us-china-tariffs.html","Dropbox faces fierce competition, doesn’t make a profit and its user growth has slowed. Yet investors think the company has an amazing future.",NA,"The New York Times","2018-03-23T10:57:34+0000","article","Business","News","5ab4dda247de81a901215ee4",3489,0.0022271695,"nyt://article/a323e00e-8e32-53a1-9a83-09ae05747384","DealBook","Dropbox’s First-Day Pop Should Give Investors Pause: DealBook Briefing",NA,NA,"",NA,NA,NA,NA,NA
"292","https://www.nytimes.com/aponline/2018/03/28/us/ap-us-orlando-shooters-wife.html","Jurors deliberated Wednesday whether the widow of the Orlando nightclub shooter lied to the FBI and helped her husband in the attack that killed 49 people or was an abused wife who knew nothing of his plans.",NA,"AP","2018-03-28T16:18:09+0000","article","None","News","5abbc04447de81a901218b43",796,0.0021772017,"nyt://article/2f780a64-625f-5c81-ac6d-c001a818205a",NA,"Jurors Begin Deliberations in Trial of Pulse Shooter's Wife",NA,NA,"Jurors Begin Deliberations in Trial of Pulse Shooter's Wife",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"293","https://www.nytimes.com/reuters/2018/03/28/business/28reuters-usa-stocks-corrected.html","The S&amp;P 500 and the Dow rose on Tuesday, led by gains in industrial and consumer staple shares, while weakness in technology stocks dragged down the Nasdaq.",NA,"Reuters","2018-03-28T17:47:55+0000","article","None","News","5abbd55047de81a901218c38",419,0.0021558623,"nyt://article/cd00808f-0d10-5fed-817c-bf92e94015ed",NA,"Wall Street Wavers After Strong Rally, Tech Stocks Struggle",NA,NA,"Wall Street Wavers After Strong Rally, Tech Stocks Struggle",NA,NA,NA,"By REUTERS","REUTERS"
"294","https://www.nytimes.com/reuters/2018/03/28/business/28reuters-europe-stocks.html","Technology companies led European stocks lower on Wednesday on persistent concerns over a regulatory crackdown and falls in major tech stocks overnight.",NA,"Reuters","2018-03-28T07:56:57+0000","article","None","News","5abb4acc47de81a9012186c4",385,0.0021497384,"nyt://article/b205decb-c1b3-5fdb-8482-c8b8bdcd6012",NA,"European Shares Feel Force of Tech Stock Sell-Off",NA,NA,"European Shares Feel Force of Tech Stock Sell-Off",NA,NA,NA,"By REUTERS","REUTERS"
